TimeStamp,Iteration[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],RD_BW[Gbit/s],WR_BW[Gbit/s],faults[#],first_faulty_address[byte],PowOfTwoBytes
2021-11-15,2,262144,4096,4096,77.484,79.9414,0,0,18
2021-11-15,1,262144,2048,4096,75.8168,79.883,0,0,18
2021-11-15,2,262144,2048,4096,75.7642,79.883,0,0,18
2021-11-15,1,262144,1024,4096,73.3229,79.8052,0,0,18
2021-11-15,2,262144,1024,4096,73.7354,79.8052,0,0,18
2021-11-15,1,262144,512,4096,68.9417,79.65,0,0,18
2021-11-15,2,262144,512,4096,68.2382,79.65,0,0,18
2021-11-15,1,262144,256,4096,62.5941,79.3414,0,0,18
2021-11-15,2,262144,256,4096,63.4056,79.3414,0,0,18
2021-11-15,1,262144,128,4096,51.8809,78.7314,0,0,18
2021-11-15,2,262144,128,4096,51.7417,78.7314,0,0,18
2021-11-15,1,262144,64,4096,39.4368,77.539,0,0,18
2021-11-15,2,262144,64,4096,39.229,77.539,0,0,18
2021-11-15,1,262144,32,4096,26.2123,75.2595,0,0,18
2021-11-15,2,262144,32,4096,26.2648,75.2595,0,0,18
2021-11-15,1,262144,16,4096,16.562,71.0803,0,0,18
2021-11-15,2,262144,16,4096,16.5738,71.0803,0,0,18
2021-11-15,1,262144,8,4096,8.86364,63.975,0,0,18
2021-11-15,2,262144,8,4096,8.87444,63.975,0,0,18
2021-11-15,1,262144,4,4096,4.72945,53.316,0,0,18
2021-11-15,2,262144,4,4096,4.7302,53.316,0,0,18
2021-11-15,1,262144,2,4096,2.50921,39.9902,0,0,18
2021-11-15,2,262144,2,4096,2.51136,39.9902,0,0,18
2021-11-15,1,262144,1,4096,1.2553,26.6688,0,0,18
2021-11-15,2,262144,1,4096,1.2551,26.6688,0,0,18
2021-11-15,1,524288,4096,8192,77.1647,79.9414,0,0,19
2021-11-15,2,524288,4096,8192,77.1466,79.9414,0,0,19
2021-11-15,1,524288,2048,8192,76.0102,79.9025,0,0,19
2021-11-15,2,524288,2048,8192,75.9662,79.9025,0,0,19
2021-11-15,1,524288,1024,8192,73.8933,79.8246,0,0,19
2021-11-15,2,524288,1024,8192,73.4791,79.8246,0,0,19
2021-11-15,1,524288,512,8192,69.9274,79.6693,0,0,19
2021-11-15,2,524288,512,8192,68.862,79.6693,0,0,19
2021-11-15,1,524288,256,8192,62.9851,79.3606,0,0,19
2021-11-15,2,524288,256,8192,63.1064,79.3606,0,0,19
